id,question,chapter,rightanswer,wronganswer1,wronganswer2,wronganswer3,wronganswer4,explanation,bookmark,bookinComp,bookTime,rese,wronganswer5
278,"An 18 year old male patient has suffered from a serious cut and has been bleeding severely for a long time. The patient is feeling dizzy and looks pale. During this, the patients stretch receptors within the blood vessels are: ",6,Sending messages to the brain to increase the rate and strength of contractility of the heart. ,"Not sensing anything. They will sense and alert the brain only if they are ""stretched"" too thin. ",Sending messages to the brain to have the heart beat as fast as it can. ,Initiating the flight or fight response within the brain. ,,Stretch receptors will notice a drop in blood pressure and notify the brain to increase the rate and strength of contractility. ,,,,,
279,The body identifies the need to breath more or less by: ,6,Chemoreceptors sense changing carbon dioxide levels within the blood. ,Chemoreceptors sense changing oxygen levels within the blood. ,Stretch receptors sense toxicity levels within the blood. ,Stretch receptors monitor the carbon dioxide levels within the lungs. ,,In healthy bodies chemoreceptors sense changing carbon dioxide levels within the blood stream and send messages to breath. Stretch receptors and chemoreceptors are different. ,,,,,
280,An 84 year old woman is suffering from a heart beat of 32 beats per minute. This is concerning because: ,6,"Her cardiac output will decrease as well, causing all of her organs to be starved of necessary oxygen and nutrients. ",She is bradycardic,Elderly patients do not respond well to decreased heart rates,She is most likely suffering from some sort of heart attack or cardiac tissue dying off. ,,Remember what goes into cardiac output. It is vital for all of us to maintain an adequate rate and pressure to maintain good levels of oxygen and nutrients within our blood. This woman is suffering from a severe decrease in cardiac output and needs intervention immediately. The cause could be from a heart attack or something else. ,,,,,
281,Common signs and symptoms of a V/Q mismatch are: ,6,"Increased pulse, pressure, respiratory rate, and possible pale cool skin and delayed capillary refill. ","Decreased pulse, pressure, and respiratory rate, along with flush warm dry skin.",A patient suffering from respiratory exhaustion. ,The patient will be breathing heavily and feel like they are not getting enough oxygen. ,,"The V/Q mismatch will cause the body to respond with a fight or flight response. This causes an increased pulse, blood pressure, and respiratory rate. At the same time, this will cause pale cool skin, delayed capillary refill and even nausea or vomiting as blood is shunted away from non-essential organs. ",,,,,
282,All of the following are ways that the body distributes fluid appropriately EXCEPT: ,6,The lungs allow for fluid loss through the act of breathing. This can be increased and decreased as the body needs. ,The brain and kidneys regulate thirst and elimination of excess fluid.,Large proteins in our blood plasma pull fluid into the bloodstream.,The permeability of both cell membranes and the walls of capillaries determine how much water can be held in and pushed out of a cell or vessel. ,,"While some fluid is lost through breathing it is generally always the same, while the other methods the body alters as it needs to. ",,,,,
283,The bodies ability to manage water is important because: ,6,It determines the concentration and how the body can utilize electrolytes,Our bodies are 70 percent water,Dehydration can be deadly,Electrolytes will starve without water. ,,The concentration of water will determine the concentration of electrolytes in the body. Too many can be harmful just as too few can be harmful. ,,,,,
284,The bodies respiratory control center is housed in the:,6,Medulla,Lungs,Diaphragm,Cerebellum ,,The medulla houses the bodies respiratory center. The medulla can be found just above the spinal cord below the main portion of the brain.,,,,,
285,What is the force exerted by large proteins in the blood stream that attracts water out of the bodies cells pulling it into the blood. ,6,Plasma oncotic pressure,Hydrostatic pressure,Protein pressure,Hydroprotonic pressure,,Plasma oncotic pressure is the process where large proteins in the blood stream pull water into the vessel. ,,,,,
286,You are attending to a patient that has large amounts of edema as well as signs and symptoms consistent with dehydration. This is most likely because?,6,The patients liver is not functioning properly,All of the answers are correct,The patient has suffered from hemorrhage,The patients pancreas is not functioning any longer,,Massive blood loss or a non-functioning pancreas would not lead to a patient that is dehydrated AND experiencing edema. A liver that is not functioning properly would. ,,,,,
287,In a shock situation the brain will tell peripheral blood vessels to constrict to compensate for blood loss. This happens because first: ,6,Stretch receptors in certain blood vessels have notified the brain of a loss of pressure,The chemoreceptors in the aortic arch have noticed a decline in blood pressure,"Blood pressure sensors in long bones, like the leg, recognize a significant reduction of blood flow",The heart is struggling to pump a significant amount of blood to the brain,,"Chemoreceptors detect changes in blood gasses not in blood pressure. Typically stretch receptors are found in arterial bodies not in the brain itself, or in long bones. ",,,,,
288,If a patient is suffering from sepsis they are most likely suffering from which of the following?,6,Fluid leaking out of their capillaries,Their blood vessels not constricting like they should,Insulin not being produced like it should,Hypertension,,"Sepsis can cause massive amounts of fluid to shift out of the blood stream into interstitial space, this happens at the capillary level. ",,,,,
289,"If a cardiac patient has another heart attack and cardiac output drops, this is typically because:",6,A decrease in the strength of contractions,A decrease in blood vessel elasticity,Cardiac irritability,Low blood volume,,A patient with a history of heart attacks most likely suffers from some significant cardiac insufficiency. Another heart attack will significantly decrease the strength of contractions in that heart. ,,,,,
290,A patient that is suffering from several attacks of nausea and vomiting is probably also suffering from: ,6,Dehydration,Excessive fluid overload,Edema,Fluid in their lungs,,Nausea and vomiting can severely dehydrate a patient. If there are extenuating circumstances this can be an extremely serious condition in a short time period.  ,,,,,
